fascicule,n_articles,tokens_prompt,tokens_iptc,tokens_article,tokens_total,cout_prompt_sans_cache,cout_prompt_avec_cache,cout_iptc_sans_cache,cout_iptc_avec_cache,cout_article,cout_completion_min,cout_completion,cout_completion_max,cout_total_sans_cache_min,cout_total_sans_cache,cout_total_sans_cache_max,cout_total_avec_cache_min,cout_total_avec_cache,cout_total_avec_cache_max
4655957,62,8370,544050,39106,591526,0.004216,0.002108,0.271994,0.1364,0.019554,0.001426,0.002914,0.005084,0.29715,0.298632,0.300879,0.159442,0.16093,0.163162
4683376,51,6885,447525,24048,478458,0.003468,0.001734,0.223737,0.1122,0.012025,0.001173,0.002397,0.004182,0.240369,0.241585,0.243432,0.12709,0.128314,0.13015
4683734,25,3375,219375,9779,232529,0.0017,0.00085,0.109675,0.055,0.004889,0.000575,0.001175,0.00205,0.116823,0.117421,0.118329,0.061296,0.061896,0.062796
4683752,30,4050,263250,9102,276402,0.00204,0.00102,0.13161,0.066,0.004554,0.00069,0.00141,0.00246,0.138869,0.139588,0.140673,0.072238,0.072958,0.074038
4683771,26,3510,228150,10031,241691,0.001768,0.000884,0.114062,0.0572,0.00502,0.000598,0.001222,0.002132,0.121427,0.122049,0.122989,0.063679,0.064303,0.065239
4683793,30,4050,263250,10088,277388,0.00204,0.00102,0.13161,0.066,0.005044,0.00069,0.00141,0.00246,0.139363,0.140083,0.141168,0.072733,0.073453,0.074533
4683816,50,6750,438750,13669,459169,0.0034,0.0017,0.21935,0.11,0.006841,0.00115,0.00235,0.0041,0.230698,0.231897,0.233707,0.119647,0.120847,0.122647
4687352,29,3915,254475,7469,265859,0.001972,0.000986,0.127223,0.0638,0.003734,0.000667,0.001363,0.002378,0.133577,0.134271,0.135318,0.069166,0.069862,0.070906
4687486,24,3240,210600,7514,221354,0.001632,0.000816,0.105288,0.0528,0.003758,0.000552,0.001128,0.001968,0.111212,0.111785,0.112655,0.057905,0.058481,0.059345
4688245,22,2970,193050,6674,202694,0.001496,0.000748,0.096514,0.0484,0.003336,0.000506,0.001034,0.001804,0.10184,0.102365,0.103162,0.052975,0.053503,0.054295
4688397,15,2025,131625,6335,139985,0.00102,0.00051,0.065805,0.033,0.003168,0.000345,0.000705,0.00123,0.070327,0.070687,0.07123,0.037012,0.037372,0.037912
4688682,25,3375,219375,6421,229171,0.0017,0.00085,0.109675,0.055,0.003213,0.000575,0.001175,0.00205,0.115143,0.115743,0.116645,0.059618,0.060218,0.061118
4688750,27,3645,236925,6795,247365,0.001836,0.000918,0.118449,0.0594,0.003398,0.000621,0.001269,0.002214,0.124286,0.124932,0.12591,0.064317,0.064965,0.065937
4701183,70,9450,614250,44233,667933,0.00476,0.00238,0.30709,0.154,0.022116,0.00161,0.00329,0.00574,0.335531,0.337206,0.339739,0.180056,0.181736,0.184256
4701367,8,1080,70200,11681,82961,0.000544,0.000272,0.035096,0.0176,0.005841,0.000184,0.000376,0.000656,0.04166,0.04185,0.04214,0.02389,0.024082,0.02437
4701440,14,1890,122850,11383,136123,0.000952,0.000476,0.061418,0.0308,0.00569,0.000322,0.000658,0.001148,0.068374,0.068708,0.069216,0.037278,0.037614,0.038118
4701441,13,1755,114075,12365,128195,0.000884,0.000442,0.057031,0.0286,0.006183,0.000299,0.000611,0.001066,0.06439,0.064699,0.06517,0.035514,0.035826,0.036294
4701494,11,1485,96525,10907,108917,0.000748,0.000374,0.048257,0.0242,0.005452,0.000253,0.000517,0.000902,0.054704,0.054967,0.055365,0.030272,0.030536,0.030932
4701825,5,675,43875,13213,57763,0.00034,0.00017,0.021935,0.011,0.006606,0.000115,0.000235,0.00041,0.028994,0.029114,0.029293,0.017888,0.018008,0.018188
4702250,11,1485,96525,11731,109741,0.000748,0.000374,0.048257,0.0242,0.005865,0.000253,0.000517,0.000902,0.055115,0.055378,0.055776,0.030683,0.030947,0.031343
4715618,58,7830,508950,21312,538092,0.003944,0.001972,0.254446,0.1276,0.010654,0.001334,0.002726,0.004756,0.27034,0.271728,0.273823,0.141518,0.14291,0.144998
4717145,46,6210,403650,19623,429483,0.003128,0.001564,0.201802,0.1012,0.009812,0.001058,0.002162,0.003772,0.215766,0.216869,0.218529,0.113599,0.114703,0.116359
4717809,26,3510,228150,17057,248717,0.001768,0.000884,0.114062,0.0572,0.008527,0.000598,0.001222,0.002132,0.124939,0.125562,0.126501,0.067192,0.067816,0.068752
4718354,18,2430,157950,21518,181898,0.001224,0.000612,0.078966,0.0396,0.010762,0.000414,0.000846,0.001476,0.091352,0.091784,0.092433,0.051373,0.051805,0.052453
4723470,41,5535,359775,17133,382443,0.002788,0.001394,0.179867,0.0902,0.008564,0.000943,0.001927,0.003362,0.192134,0.193118,0.1946,0.101073,0.102057,0.103533
4742203,50,6750,438750,32961,478461,0.0034,0.0017,0.21935,0.11,0.016484,0.00115,0.00235,0.0041,0.240346,0.241543,0.243349,0.129293,0.130493,0.132293
4743498,74,9990,649350,43392,702732,0.005032,0.002516,0.324638,0.1628,0.021696,0.001702,0.003478,0.006068,0.353018,0.354788,0.357465,0.188658,0.190434,0.193098
4743533,64,8640,561600,47596,617836,0.004352,0.002176,0.280768,0.1408,0.0238,0.001472,0.003008,0.005248,0.310345,0.311879,0.314188,0.168199,0.169735,0.172039
4743572,70,9450,614250,46936,670636,0.00476,0.00238,0.30709,0.154,0.023464,0.00161,0.00329,0.00574,0.336878,0.338554,0.341086,0.181404,0.183084,0.185604
4743714,56,7560,491400,37177,536137,0.003808,0.001904,0.245672,0.1232,0.018585,0.001288,0.002632,0.004592,0.269318,0.270657,0.272685,0.144937,0.146281,0.148297
4743818,76,10260,666900,55558,732718,0.005168,0.002584,0.333412,0.1672,0.027775,0.001748,0.003572,0.006232,0.368058,0.369876,0.372622,0.199256,0.20108,0.203816
4743854,104,14040,912600,51893,978533,0.007072,0.003536,0.456248,0.2288,0.025945,0.002392,0.004888,0.008528,0.491585,0.494075,0.497834,0.260595,0.263091,0.266835
4745347,101,13635,886275,59620,959530,0.006868,0.003434,0.443087,0.2222,0.029806,0.002323,0.004747,0.008282,0.482018,0.484438,0.488089,0.257693,0.260117,0.263753
4745483,111,14985,974025,74644,1063654,0.007548,0.003774,0.486957,0.2442,0.037326,0.002553,0.005217,0.009102,0.534307,0.536962,0.540976,0.287767,0.290431,0.294427
4745664,32,4320,280800,12189,297309,0.002176,0.001088,0.140384,0.0704,0.006093,0.000736,0.001504,0.002624,0.149368,0.150134,0.15129,0.078294,0.079062,0.080214
4746895,117,15795,1026675,80520,1122990,0.007956,0.003978,0.513279,0.2574,0.040257,0.002691,0.005499,0.009594,0.564113,0.566909,0.571141,0.304243,0.307051,0.311263
4748676,56,7560,491400,23429,522389,0.003808,0.001904,0.245672,0.1232,0.011713,0.001288,0.002632,0.004592,0.262443,0.263786,0.265808,0.138066,0.13941,0.141426
4749066,74,9990,649350,26779,686119,0.005032,0.002516,0.324638,0.1628,0.01339,0.001702,0.003478,0.006068,0.344714,0.346481,0.349157,0.180351,0.182127,0.184791
4753294,117,15795,1026675,77316,1119786,0.007956,0.003978,0.513279,0.2574,0.03866,0.002691,0.005499,0.009594,0.562511,0.565308,0.569538,0.302643,0.305451,0.309663
4756274,121,16335,1061775,51743,1129853,0.008228,0.004114,0.530827,0.2662,0.025871,0.002783,0.005687,0.009922,0.567624,0.570522,0.574898,0.298877,0.301781,0.306137
4757163,116,15660,1017900,56702,1090262,0.007888,0.003944,0.508892,0.2552,0.028354,0.002668,0.005452,0.009512,0.547717,0.550496,0.554692,0.290076,0.29286,0.297036
4757709,63,8505,552825,21139,582469,0.004284,0.002142,0.276381,0.1386,0.010569,0.001449,0.002961,0.005166,0.292638,0.294146,0.296422,0.152711,0.154223,0.156491
4758930,128,17280,1123200,100686,1241166,0.008704,0.004352,0.561536,0.2816,0.050344,0.002944,0.006016,0.010496,0.623446,0.626505,0.631131,0.339145,0.342217,0.346825
4767236,24,3240,210600,26412,240252,0.001632,0.000816,0.105288,0.0528,0.013204,0.000552,0.001128,0.001968,0.120662,0.121237,0.122103,0.067356,0.067932,0.068796
4767477,20,2700,175500,25865,204065,0.00136,0.00068,0.08774,0.044,0.012933,0.00046,0.00094,0.00164,0.102477,0.102957,0.103679,0.058057,0.058537,0.059257
