lot_id,fascicule,batch_index,n_articles,tokens_articles,tokens_fixe,tokens_total,tokens_output_min,tokens_output_moyen,tokens_output_max,cout_sans_cache_min,cout_avec_cache_min,cout_sans_cache_moyen,cout_avec_cache_moyen,cout_sans_cache_max,cout_avec_cache_max
256,4773529,1,25,13830,8912,22742,680,1180,1680,0.01239,0.01017,0.01314,0.01092,0.01389,0.01167
257,4773529,2,25,16142,8912,25054,680,1180,1680,0.01355,0.01133,0.0143,0.01208,0.01505,0.01283
258,4773529,3,25,3707,8912,12619,690,1190,1690,0.00734,0.00512,0.00809,0.00587,0.00884,0.00662
259,4773529,4,22,2755,8912,11667,621,1061,1501,0.00677,0.00454,0.00743,0.0052,0.00809,0.00586
260,4773609,0,20,29754,8912,38666,543,943,1343,0.02015,0.01793,0.02075,0.01853,0.02135,0.01913
261,4773609,1,17,6126,8912,15038,464,804,1144,0.00822,0.00599,0.00873,0.0065,0.00924,0.00701
262,4773934,0,25,9252,8912,18164,668,1168,1668,0.01008,0.00786,0.01083,0.00861,0.01158,0.00936
263,4773934,1,8,3467,8912,12379,221,381,541,0.00652,0.0043,0.00676,0.00454,0.007,0.00478
264,4773935,0,25,8300,8912,17212,675,1175,1675,0.00962,0.0074,0.01037,0.00815,0.01112,0.0089
265,4773935,1,5,12127,8912,21039,140,240,340,0.01073,0.00851,0.01088,0.00866,0.01103,0.00881
266,4773936,0,25,7243,8912,16155,675,1175,1675,0.00909,0.00687,0.00984,0.00762,0.01059,0.00837
267,4773936,1,18,9506,8912,18418,491,851,1211,0.00995,0.00772,0.01049,0.00826,0.01103,0.0088
268,4773937,0,25,9413,8912,18325,674,1174,1674,0.01017,0.00795,0.01092,0.0087,0.01167,0.00945
269,4773937,1,6,11591,8912,20503,167,287,407,0.0105,0.00828,0.01068,0.00846,0.01086,0.00864
270,4782897,0,25,16616,8912,25528,676,1176,1676,0.01378,0.01156,0.01453,0.01231,0.01528,0.01306
271,4782897,1,23,30334,8912,39246,630,1090,1550,0.02057,0.01835,0.02126,0.01904,0.02195,0.01973
272,4782897,2,3,2651,8912,11563,89,149,209,0.00592,0.00369,0.006,0.00378,0.0061,0.00387
273,4785180,0,25,19149,8912,28061,675,1175,1675,0.01504,0.01282,0.01579,0.01357,0.01654,0.01432
274,4785180,1,25,12617,8912,21529,680,1180,1680,0.01178,0.00956,0.01253,0.01031,0.01328,0.01106
275,4785180,2,19,14008,8912,22920,536,916,1296,0.01226,0.01004,0.01283,0.01061,0.0134,0.01118
276,4785732,0,25,20662,8912,29574,675,1175,1675,0.0158,0.01358,0.01655,0.01433,0.0173,0.01508
277,4785732,1,25,17913,8912,26825,680,1180,1680,0.01443,0.01221,0.01518,0.01296,0.01593,0.01371
278,4785732,2,16,9575,8912,18487,449,769,1089,0.00992,0.0077,0.0104,0.00818,0.01088,0.00866
279,4791550,0,25,10909,8912,19821,674,1174,1674,0.01092,0.0087,0.01167,0.00945,0.01242,0.0102
280,4791550,1,25,7465,8912,16377,680,1180,1680,0.00921,0.00699,0.00996,0.00774,0.01071,0.00849
281,4791550,2,25,14086,8912,22998,680,1180,1680,0.01252,0.0103,0.01327,0.01105,0.01402,0.0118
282,4791550,3,11,30239,8912,39151,312,532,752,0.02004,0.01782,0.02037,0.01815,0.0207,0.01848
283,6703872,0,25,18386,8912,27298,675,1175,1675,0.01466,0.01244,0.01541,0.01319,0.01616,0.01394
284,6703872,1,25,8580,8912,17492,680,1180,1680,0.00977,0.00754,0.01052,0.00829,0.01127,0.00904
285,6703872,2,23,18983,8912,27895,640,1100,1560,0.01491,0.01269,0.0156,0.01338,0.01629,0.01407
286,6705781,0,25,12101,8912,21013,675,1175,1675,0.01152,0.0093,0.01227,0.01005,0.01302,0.0108
287,6705781,1,25,11523,8912,20435,680,1180,1680,0.01124,0.00902,0.01199,0.00977,0.01274,0.01052
288,6705781,2,25,13628,8912,22540,691,1191,1691,0.01231,0.01008,0.01306,0.01083,0.01381,0.01158
289,6705781,3,4,6248,8912,15160,117,197,277,0.00776,0.00553,0.00788,0.00565,0.008,0.00577
290,6706398,0,25,15007,8912,23919,671,1171,1671,0.01297,0.01074,0.01372,0.01149,0.01447,0.01224
291,6706398,1,25,7775,8912,16687,680,1180,1680,0.00936,0.00714,0.01011,0.00789,0.01086,0.00864
292,6706398,2,25,6479,8912,15391,680,1180,1680,0.00872,0.00649,0.00947,0.00724,0.01022,0.00799
293,6706398,3,16,4083,8912,12995,452,772,1092,0.00718,0.00495,0.00766,0.00543,0.00814,0.00591
294,6710420,0,25,14591,8912,23503,676,1176,1676,0.01277,0.01054,0.01352,0.01129,0.01427,0.01204
295,6710420,1,25,7934,8912,16846,680,1180,1680,0.00944,0.00722,0.01019,0.00797,0.01094,0.00872
296,6710420,2,3,536,8912,9448,86,146,206,0.00485,0.00263,0.00494,0.00272,0.00503,0.00281
297,6710457,0,25,26468,8912,35380,676,1176,1676,0.0187,0.01648,0.01945,0.01723,0.0202,0.01798
298,6710457,1,14,1916,8912,10828,383,663,943,0.00599,0.00377,0.00641,0.00419,0.00683,0.00461
299,6710458,0,25,21231,8912,30143,677,1177,1677,0.01609,0.01387,0.01684,0.01462,0.01759,0.01537
300,6710458,1,25,4671,8912,13583,680,1180,1680,0.00781,0.00559,0.00856,0.00634,0.00931,0.00709
301,6710458,2,2,905,8912,9817,59,99,139,0.005,0.00278,0.00506,0.00284,0.00512,0.0029
302,6711097,0,25,9152,8912,18064,674,1174,1674,0.01004,0.00782,0.01079,0.00857,0.01154,0.00932
303,6711097,1,25,7608,8912,16520,680,1180,1680,0.00928,0.00706,0.01003,0.00781,0.01078,0.00856
304,6711097,2,25,2620,8912,11532,680,1180,1680,0.00679,0.00456,0.00754,0.00531,0.00829,0.00606
