lot_id,fascicule,batch_index,n_articles,tokens_articles,tokens_fixe,tokens_total,tokens_output_min,tokens_output_moyen,tokens_output_max,cout_sans_cache_min,cout_avec_cache_min,cout_sans_cache_moyen,cout_avec_cache_moyen,cout_sans_cache_max,cout_avec_cache_max
116,4650200,1,25,13083,8912,21995,680,1180,1680,0.01202,0.0098,0.01277,0.01055,0.01352,0.0113
117,4650200,2,25,7730,8912,16642,693,1193,1693,0.00936,0.00714,0.01011,0.00789,0.01086,0.00864
118,4650200,3,25,8512,8912,17424,705,1205,1705,0.00977,0.00755,0.01052,0.0083,0.01127,0.00905
119,4650200,4,25,14014,8912,22926,705,1205,1705,0.01252,0.0103,0.01327,0.01105,0.01402,0.0118
120,4650200,5,3,3507,8912,12419,89,149,209,0.00634,0.00412,0.00643,0.00421,0.00652,0.0043
121,4651700,0,25,26534,8912,35446,671,1171,1671,0.01873,0.01651,0.01948,0.01726,0.02023,0.01801
122,4651700,1,25,3805,8912,12717,680,1180,1680,0.00738,0.00516,0.00813,0.00591,0.00888,0.00666
123,4651700,2,19,14104,8912,23016,520,900,1280,0.01229,0.01007,0.01286,0.01064,0.01343,0.01121
124,4651968,0,25,22889,8912,31801,673,1173,1673,0.01691,0.01469,0.01766,0.01544,0.01841,0.01619
125,4651968,1,25,14959,8912,23871,680,1180,1680,0.01296,0.01073,0.01371,0.01148,0.01446,0.01223
126,4651968,2,12,8468,8912,17380,329,569,809,0.00918,0.00696,0.00954,0.00732,0.0099,0.00768
127,4653842,0,19,30243,8912,39155,512,892,1272,0.02035,0.01812,0.02092,0.01869,0.02149,0.01926
128,4653842,1,25,11620,8912,20532,680,1180,1680,0.01129,0.00906,0.01204,0.00981,0.01279,0.01056
129,4654798,0,25,25125,8912,34037,675,1175,1675,0.01803,0.01581,0.01878,0.01656,0.01953,0.01731
130,4654798,1,22,12435,8912,21347,599,1039,1479,0.01157,0.00935,0.01223,0.01001,0.01289,0.01067
131,4654800,0,17,27505,8912,36417,458,798,1138,0.0189,0.01667,0.01941,0.01718,0.01992,0.01769
132,4655957,0,25,28547,8912,37459,669,1169,1669,0.01973,0.01751,0.02048,0.01826,0.02123,0.01901
133,4655957,1,25,3261,8912,12173,680,1180,1680,0.00711,0.00488,0.00786,0.00563,0.00861,0.00638
134,4655957,2,12,7298,8912,16210,329,569,809,0.0086,0.00638,0.00896,0.00674,0.00932,0.0071
135,4683376,0,25,14309,8912,23221,672,1172,1672,0.01262,0.0104,0.01337,0.01115,0.01412,0.0119
136,4683376,1,25,9487,8912,18399,680,1180,1680,0.01022,0.008,0.01097,0.00875,0.01172,0.0095
137,4683376,2,1,252,8912,9164,32,52,72,0.00463,0.00241,0.00466,0.00244,0.00469,0.00247
138,4683734,0,25,9779,8912,18691,674,1174,1674,0.01036,0.00813,0.01111,0.00888,0.01186,0.00963
139,4683752,0,25,8469,8912,17381,674,1174,1674,0.0097,0.00748,0.01045,0.00823,0.0112,0.00898
140,4683752,1,5,633,8912,9545,140,240,340,0.00498,0.00276,0.00513,0.00291,0.00528,0.00306
141,4683771,0,25,9988,8912,18900,678,1178,1678,0.01047,0.00825,0.01122,0.009,0.01197,0.00975
142,4683771,1,1,43,8912,8955,32,52,72,0.00453,0.0023,0.00456,0.00233,0.00459,0.00236
143,4683793,0,25,7024,8912,15936,675,1175,1675,0.00898,0.00676,0.00973,0.00751,0.01048,0.00826
144,4683793,1,5,3064,8912,11976,140,240,340,0.0062,0.00398,0.00635,0.00413,0.0065,0.00428
145,4683816,0,25,9215,8912,18127,675,1175,1675,0.01008,0.00785,0.01083,0.0086,0.01158,0.00935
146,4683816,1,25,4454,8912,13366,680,1180,1680,0.0077,0.00548,0.00845,0.00623,0.0092,0.00698
147,4687352,0,25,6447,8912,15359,671,1171,1671,0.00869,0.00646,0.00944,0.00721,0.01019,0.00796
148,4687352,1,4,1022,8912,9934,113,193,273,0.00514,0.00291,0.00526,0.00303,0.00538,0.00315
149,4687486,0,24,7514,8912,16426,646,1126,1606,0.00918,0.00696,0.0099,0.00768,0.01062,0.0084
150,4688245,0,22,6674,8912,15586,596,1036,1476,0.00869,0.00647,0.00935,0.00713,0.01001,0.00779
151,4688397,0,15,6335,8912,15247,403,703,1003,0.00823,0.00601,0.00868,0.00646,0.00913,0.00691
152,4688682,0,25,6421,8912,15333,674,1174,1674,0.00868,0.00646,0.00943,0.00721,0.01018,0.00796
153,4688750,0,25,6279,8912,15191,673,1173,1673,0.0086,0.00638,0.00936,0.00713,0.0101,0.00788
154,4688750,1,2,516,8912,9428,59,99,139,0.0048,0.00258,0.00486,0.00264,0.00492,0.0027
155,4701183,0,25,19007,8912,27919,676,1176,1676,0.01497,0.01275,0.01572,0.0135,0.01647,0.01425
156,4701183,1,25,19789,8912,28701,696,1196,1696,0.01539,0.01317,0.01614,0.01392,0.01689,0.01467
157,4701183,2,20,5437,8912,14349,565,965,1365,0.00802,0.0058,0.00862,0.0064,0.00922,0.007
158,4701367,0,8,11681,8912,20593,218,378,538,0.01062,0.0084,0.01086,0.00864,0.0111,0.00888
159,4701440,0,14,11383,8912,20295,380,660,940,0.01072,0.0085,0.01114,0.00892,0.01156,0.00934
160,4701441,0,13,12365,8912,21277,351,611,871,0.01117,0.00894,0.01156,0.00933,0.01195,0.00972
161,4701494,0,11,10907,8912,19819,297,517,737,0.01035,0.00813,0.01069,0.00846,0.01102,0.00879
162,4701825,0,5,13213,8912,22125,139,239,339,0.01127,0.00905,0.01142,0.0092,0.01157,0.00935
163,4702250,0,11,11731,8912,20643,298,518,738,0.01077,0.00855,0.0111,0.00888,0.01143,0.00921
164,4715618,0,25,7030,8912,15942,675,1175,1675,0.00898,0.00676,0.00973,0.00751,0.01048,0.00826
165,4715618,1,25,8830,8912,17742,680,1180,1680,0.00989,0.00767,0.01064,0.00842,0.01139,0.00917
166,4715618,2,8,5452,8912,14364,221,381,541,0.00751,0.00529,0.00775,0.00553,0.00799,0.00577
167,4717145,0,25,4782,8912,13694,667,1167,1667,0.00785,0.00563,0.0086,0.00638,0.00935,0.00713
168,4717145,1,21,14841,8912,23753,572,992,1412,0.01273,0.01051,0.01336,0.01114,0.01399,0.01177
169,4717809,0,25,16614,8912,25526,673,1173,1673,0.01377,0.01155,0.01452,0.0123,0.01527,0.01305
170,4717809,1,1,443,8912,9355,32,52,72,0.00473,0.0025,0.00476,0.00253,0.00479,0.00256
171,4718354,0,18,21518,8912,30430,484,844,1204,0.01594,0.01372,0.01648,0.01426,0.01702,0.0148
172,4723470,0,25,9523,8912,18435,673,1173,1673,0.01023,0.00801,0.01098,0.00876,0.01173,0.00951
173,4723470,1,16,7610,8912,16522,437,757,1077,0.00892,0.00669,0.0094,0.00717,0.00988,0.00765
174,4742203,0,25,9973,8912,18885,673,1173,1673,0.01045,0.00823,0.0112,0.00898,0.01195,0.00973
175,4742203,1,25,22988,8912,31900,680,1180,1680,0.01697,0.01475,0.01772,0.0155,0.01847,0.01625
176,4743498,0,25,9389,8912,18301,671,1171,1671,0.01016,0.00794,0.01091,0.00869,0.01166,0.00944
177,4743498,1,25,22208,8912,31120,680,1180,1680,0.01658,0.01436,0.01733,0.01511,0.01808,0.01586
178,4743498,2,24,11795,8912,20707,660,1140,1620,0.01134,0.00912,0.01206,0.00984,0.01278,0.01056
179,4743533,0,25,12456,8912,21368,672,1172,1672,0.01169,0.00947,0.01244,0.01022,0.01319,0.01097
180,4743533,1,25,21024,8912,29936,680,1180,1680,0.01599,0.01377,0.01674,0.01452,0.01749,0.01527
181,4743533,2,14,14116,8912,23028,386,666,946,0.01209,0.00987,0.01251,0.01029,0.01293,0.01071
182,4743572,0,25,13234,8912,22146,672,1172,1672,0.01208,0.00986,0.01283,0.01061,0.01358,0.01136
183,4743572,1,25,17633,8912,26545,680,1180,1680,0.01429,0.01207,0.01504,0.01282,0.01579,0.01357
184,4743572,2,20,16069,8912,24981,546,946,1346,0.01331,0.01109,0.01391,0.01169,0.01451,0.01229
185,4743714,0,25,7762,8912,16674,670,1170,1670,0.00934,0.00712,0.01009,0.00787,0.01084,0.00862
186,4743714,1,25,26172,8912,35084,680,1180,1680,0.01856,0.01634,0.01931,0.01709,0.02006,0.01784
187,4743714,2,6,3243,8912,12155,167,287,407,0.00633,0.00411,0.00651,0.00429,0.00669,0.00447
188,4743818,0,25,12179,8912,21091,673,1173,1673,0.01155,0.00933,0.0123,0.01008,0.01305,0.01083
189,4743818,1,25,22222,8912,31134,680,1180,1680,0.01659,0.01437,0.01734,0.01512,0.01809,0.01587
190,4743818,2,25,21123,8912,30035,701,1201,1701,0.01607,0.01385,0.01682,0.0146,0.01757,0.01535
191,4743818,3,1,34,8912,8946,33,53,73,0.00452,0.0023,0.00455,0.00233,0.00458,0.00236
192,4743854,0,25,11967,8912,20879,676,1176,1676,0.01145,0.00923,0.0122,0.00998,0.01295,0.01073
193,4743854,1,25,7534,8912,16446,680,1180,1680,0.00924,0.00702,0.00999,0.00777,0.01074,0.00852
194,4743854,2,25,9574,8912,18486,680,1180,1680,0.01026,0.00804,0.01101,0.00879,0.01176,0.00954
195,4743854,3,25,22524,8912,31436,700,1200,1700,0.01677,0.01455,0.01752,0.0153,0.01827,0.01605
196,4743854,4,4,294,8912,9206,117,197,277,0.00478,0.00256,0.0049,0.00268,0.00502,0.0028
197,4745347,0,25,24237,8912,33149,679,1179,1679,0.01759,0.01537,0.01834,0.01612,0.01909,0.01687
198,4745347,1,25,12355,8912,21267,688,1188,1688,0.01167,0.00944,0.01242,0.01019,0.01317,0.01094
199,4745347,2,25,8944,8912,17856,705,1205,1705,0.00999,0.00776,0.01074,0.00851,0.01149,0.00926
200,4745347,3,25,13836,8912,22748,705,1205,1705,0.01243,0.01021,0.01318,0.01096,0.01393,0.01171
201,4745347,4,1,248,8912,9160,33,53,73,0.00463,0.00241,0.00466,0.00244,0.00469,0.00247
