scenario,n_appels,cout_sans_cache_min,cout_sans_cache_moyen,cout_sans_cache_max,cout_avec_cache_min,cout_avec_cache_moyen,cout_avec_cache_max
1_article_par_appel,6699,31.75,31.91,32.15,16.87,17.03,17.27
groupage_par_lot,316,3.43,3.63,3.83,2.73,2.93,3.13
